#{"t_start": 1743693148.5009587, "env_id": "SuperMarioBros-v2"}
r,l,t
1550.0,228,55423.430122
1575.0,245,55425.431794
2984.0,378,55429.820247
2056.0,246,55431.740685
1873.0,230,55514.874653
2019.0,273,55517.473363
1496.0,203,55520.596499
2310.0,304,55522.979652
1876.0,230,55526.26056
1492.0,198,55527.817593
3097.0,514,55533.315685
1808.0,271,55536.948791
2836.0,450,55624.862534
2403.0,339,55627.581772
1492.0,264,55631.123719
1674.0,204,55632.842602
1675.0,313,55636.864855
3213.0,427,55641.697234
2601.0,292,55644.114651
2818.0,342,55648.284724
2529.0,339,55657.029341
1884.0,233,55660.349378
2542.0,295,55664.195179
2525.0,330,55666.754342
1081.0,172,55669.473657
1470.0,239,55671.366659
3635.0,560,55678.237646
2024.0,237,55681.602752
1998.0,262,55683.746876
1849.0,245,55693.412905
3124.0,386,55696.421051
708.0,100,55697.228151
1819.0,211,55700.207204
1593.0,215,55701.905232
729.0,98,55702.710359
1657.0,196,55705.677236
2165.0,284,55708.108369
2679.0,346,55712.315473
2248.0,309,55716.443957
1526.0,201,55718.168717
1462.0,186,55730.290256
2609.0,328,55734.528657
1893.0,307,55738.338867
1447.0,154,55739.608093
1539.0,197,55741.227485
1804.0,210,55744.451772
2281.0,254,55746.581537
2626.0,325,55750.968976
1829.0,189,55752.520351
3094.0,377,55763.237164
2151.0,276,55767.452552
2422.0,271,55769.518054
2595.0,342,55773.662434
4987.0,936,55784.869509
1878.0,228,55786.653709
2785.0,333,55790.695064
3083.0,433,55801.892494
2042.0,213,55803.714483
1816.0,208,55805.407986
1475.0,178,55808.227855
2730.0,344,55811.110864
2052.0,246,55814.392437
2090.0,293,55816.643001
2988.0,419,55821.18824
3433.0,489,55833.931632
1777.0,195,55837.130295
1695.0,241,55839.065494
1824.0,237,55842.58383
1847.0,265,55844.864685
1596.0,208,55846.656606
1497.0,203,55849.638823
2136.0,281,55851.859986
1867.0,241,55855.084863
1456.0,156,55856.362789
2553.0,340,55939.43035
1692.0,212,55941.544256
1563.0,187,55944.771778
1977.0,348,55947.499147
1710.0,221,55950.589278
2066.0,310,55953.147506
2759.0,376,55957.549758
2993.0,355,55961.872254
2570.0,297,55964.110909
1929.0,239,55975.4319
1473.0,185,55977.243454
1740.0,228,55980.96498
2498.0,284,55983.347027
2999.0,386,55987.803288
3081.0,451,55992.867607
1864.0,226,55994.664622
1823.0,276,55998.175879
1683.0,200,55999.778566
2025.0,243,56009.657608
1446.0,174,56011.036951
2066.0,279,56014.559239
2107.0,242,56016.450075
2281.0,325,56020.40012
1582.0,215,56022.250193
2028.0,259,56025.722385
1515.0,218,56027.48356
2409.0,298,56031.309821
3285.0,405,56042.624962
2028.0,231,56046.300759
1852.0,237,56048.241537
2072.0,239,56051.61278
1609.0,192,56053.220208
1859.0,219,56056.426765
1505.0,206,56058.095302
1577.0,179,56059.551075
