#{"t_start": 1743693151.637288, "env_id": "SuperMarioBros-v2"}
r,l,t
1703.0,178,58377.372299
1703.0,178,58378.471241
1703.0,178,58379.569916
1703.0,178,58380.67746
1703.0,178,58381.933802
1619.0,166,58414.579308
1619.0,166,58416.799402
1619.0,166,58419.085423
1619.0,166,58421.207732
1619.0,166,58423.536664
1623.0,165,58479.075529
1623.0,165,58481.80056
1623.0,165,58484.521528
1623.0,165,58487.188615
1623.0,165,58489.719484
2171.0,2185,58572.380666
2171.0,2185,58604.71608
2171.0,2185,58638.329371
2171.0,2185,58673.59755
2171.0,2185,58705.586295
1099.0,4070,58815.776254
1099.0,4070,58885.21751
1099.0,4070,58945.358157
1099.0,4070,59001.275407
1099.0,4070,59056.475048
1886.0,207,59110.23937
1886.0,207,59113.522218
1886.0,207,59116.789547
1886.0,207,59120.117181
1886.0,207,59123.299788
1878.0,195,59178.821003
1878.0,195,59182.40588
1878.0,195,59186.052778
1878.0,195,59189.995975
1878.0,195,59193.285521
1616.0,171,59251.23206
1616.0,171,59254.054781
1616.0,171,59256.629723
1616.0,171,59259.472727
1616.0,171,59262.261963
1530.0,160,59319.498127
1530.0,160,59321.668904
1530.0,160,59324.01821
1530.0,160,59326.064013
1530.0,160,59328.219904
1533.0,5630,59455.660069
1533.0,5630,59545.567618
1533.0,5630,59635.173988
1533.0,5630,59726.373101
1533.0,5630,59817.959527
1883.0,280,59876.858067
1883.0,280,59881.378327
1883.0,280,59885.947912
1883.0,280,59890.320329
1883.0,280,59894.673002
1457.0,2170,59976.126608
1457.0,2170,60007.268838
1457.0,2170,60045.053175
1457.0,2170,60081.572825
1457.0,2170,60115.35346
1870.0,204,60173.533732
1870.0,204,60177.211435
1870.0,204,60180.650151
1870.0,204,60184.260036
1870.0,204,60187.445188
402.0,6016,60344.137542
402.0,6016,60441.455258
402.0,6016,60539.229303
402.0,6016,60635.254314
402.0,6016,60733.087252
1607.0,216,60788.364358
1607.0,216,60791.680677
1607.0,216,60795.273102
1607.0,216,60798.735506
1607.0,216,60802.26744
2935.0,2150,60889.93889
2935.0,2150,60924.330548
2935.0,2150,60957.331804
2935.0,2150,60991.677112
2935.0,2150,61027.305428
1617.0,171,61082.748888
1617.0,171,61085.262921
1617.0,171,61087.779222
1617.0,171,61090.521344
1617.0,171,61093.138887
1884.0,224,61150.898933
1884.0,224,61154.472774
1884.0,224,61158.224822
1884.0,224,61161.891534
1884.0,224,61165.525413
1896.0,189,61222.207347
1896.0,189,61225.02217
1896.0,189,61228.165164
1896.0,189,61231.070173
1896.0,189,61234.237377
2172.0,4024,61353.331095
2172.0,4024,61417.592688
2172.0,4024,61481.608694
2172.0,4024,61545.910177
2172.0,4024,61613.432431
1899.0,222,61669.004676
1899.0,222,61672.437256
1899.0,222,61675.815088
1899.0,222,61679.115843
1899.0,222,61682.510326
1734.0,2158,61772.560162
1734.0,2158,61806.812287
1734.0,2158,61842.164343
1734.0,2158,61876.790451
1734.0,2158,61910.501174
1539.0,178,61971.961245
1539.0,178,61974.91056
1539.0,178,61977.751103
1539.0,178,61980.609393
1539.0,178,61983.519077
1556.0,213,62045.902468
1556.0,213,62049.266222
1556.0,213,62052.846161
1556.0,213,62056.566274
1556.0,213,62060.323563
1531.0,2139,62148.603228
1531.0,2139,62183.354505
1531.0,2139,62220.176399
1531.0,2139,62254.102865
1531.0,2139,62288.235544
1125.0,4079,62412.640561
1125.0,4079,62478.243463
1125.0,4079,62540.980178
1125.0,4079,62609.092692
1125.0,4079,62672.200445
774.0,6016,62821.56017
774.0,6016,62914.804009
774.0,6016,63011.025566
774.0,6016,63109.292661
774.0,6016,63208.542308
1686.0,4126,63326.319197
1686.0,4126,63390.828439
1686.0,4126,63457.372273
1686.0,4126,63524.002594
1686.0,4126,63591.455557
1993.0,2043,63679.935448
1993.0,2043,63712.136469
1993.0,2043,63743.70874
1993.0,2043,63775.77633
1993.0,2043,63807.722714
2126.0,2035,63893.634781
2126.0,2035,63925.704263
2126.0,2035,63957.494809
2126.0,2035,63990.152905
2126.0,2035,64022.553443
1871.0,2034,64112.772685
1871.0,2034,64146.102391
1871.0,2034,64177.380805
1871.0,2034,64209.315372
1871.0,2034,64244.172321
1879.0,2172,64331.985845
1879.0,2172,64368.088958
1879.0,2172,64403.418822
1879.0,2172,64437.467599
1879.0,2172,64473.450721
1870.0,230,64529.371858
1870.0,230,64533.299011
1870.0,230,64536.948735
1870.0,230,64540.693227
1870.0,230,64544.250354
2450.0,254,64600.444476
2450.0,254,64603.671718
2450.0,254,64607.124899
2450.0,254,64611.025806
2450.0,254,64615.119347
2663.0,4172,64727.494794
2663.0,4172,64782.894836
2663.0,4172,64820.204567
2663.0,4172,64851.319625
2663.0,4172,64883.166356
2159.0,2209,64928.529159
2159.0,2209,64945.398273
2159.0,2209,64961.759673
2159.0,2209,64978.156087
2159.0,2209,64994.503958
1583.0,167,65023.862036
1583.0,167,65025.067984
1583.0,167,65026.302954
1583.0,167,65027.749954
1583.0,167,65029.170823
1880.0,201,65058.100574
1880.0,201,65059.558873
1880.0,201,65061.055535
1880.0,201,65062.571639
1880.0,201,65064.088092
1878.0,200,65094.960714
1878.0,200,65096.581446
1878.0,200,65098.179801
1878.0,200,65099.694512
1878.0,200,65101.466515
1531.0,163,65131.658751
1531.0,163,65132.712959
1531.0,163,65133.95316
1531.0,163,65135.2082
1531.0,163,65136.531659
1889.0,206,65166.788134
1889.0,206,65168.17898
1889.0,206,65169.745058
1889.0,206,65171.497972
1889.0,206,65173.211689
1844.0,208,65204.983528
1844.0,208,65206.286729
1844.0,208,65207.611706
1844.0,208,65209.171762
1844.0,208,65210.786865
2060.0,2847,65261.378754
2060.0,2847,65282.180239
2060.0,2847,65303.137072
2060.0,2847,65325.67113
2060.0,2847,65348.617732
1605.0,171,65380.563709
1605.0,171,65381.654197
1605.0,171,65382.773235
1605.0,171,65383.928733
1605.0,171,65385.208189
780.0,6016,65459.287837
780.0,6016,65513.719967
780.0,6016,65565.31432
780.0,6016,65610.649146
780.0,6016,65655.158873
1802.0,203,65685.340098
1802.0,203,65686.830191
1802.0,203,65688.363484
1802.0,203,65690.036403
1802.0,203,65691.762165
1657.0,177,65721.69202
1657.0,177,65722.801545
1657.0,177,65724.114796
1657.0,177,65725.464292
1657.0,177,65726.894422
1968.0,202,65755.915253
1968.0,202,65757.229793
1968.0,202,65758.723212
1968.0,202,65760.315096
1968.0,202,65762.002259
1808.0,194,65794.392903
1808.0,194,65795.703881
1808.0,194,65797.092776
1808.0,194,65798.595836
1808.0,194,65800.062065
3117.0,307,65831.267555
3117.0,307,65833.435415
3117.0,307,65835.914405
3117.0,307,65838.285996
3117.0,307,65840.60933
2505.0,2242,65886.760952
2505.0,2242,65904.249867
2505.0,2242,65921.853167
2505.0,2242,65940.244808
2505.0,2242,65959.900747
1467.0,160,65991.368645
1467.0,160,65992.373541
